Step	PotentialEnergy	Width	Height	Area
446	-294.696634	8.0405	8.4414	67.8726
447	-294.660045	8.0478	8.4474	67.9833
448	-294.671584	8.0551	8.4496	68.0627
449	-294.673232	8.0629	8.4516	68.1438
450	-294.721316	8.0706	8.4480	68.1809
451	-294.696634	8.0792	8.4578	68.3321
452	-294.660045	8.0861	8.4634	68.4358
453	-294.671584	8.0929	8.4652	68.5079
454	-294.673232	8.1002	8.4667	68.5820
455	-294.721316	8.1076	8.4628	68.6126
456	-294.696634	8.1157	8.4721	68.7567
457	-294.660045	8.1221	8.4772	68.8532
458	-294.671584	8.1285	8.4786	68.9180
459	-294.673232	8.1354	8.4796	68.9849
460	-294.721316	8.1423	8.4754	69.0090
461	-294.696634	8.1499	8.4842	69.1460
462	-294.660045	8.1560	8.4889	69.2352
463	-294.671584	8.1619	8.4898	69.2926
464	-294.673232	8.1683	8.4904	69.3521
465	-294.721316	8.1748	8.4858	69.3697
466	-294.696634	8.1820	8.4942	69.4994
467	-294.660045	8.1876	8.4984	69.5811
468	-294.671584	8.1930	8.4988	69.6311
469	-294.673232	8.1990	8.4990	69.6833
470	-294.721316	8.2051	8.4941	69.6943
471	-294.696634	8.2118	8.5019	69.8165
472	-294.660045	8.2169	8.5057	69.8908
473	-294.671584	8.2220	8.5057	69.9332
474	-294.673232	8.2275	8.5054	69.9779
475	-294.721316	8.2331	8.5001	69.9823
476	-294.696634	8.2394	8.5075	70.0970
477	-294.660045	8.2441	8.5108	70.1637
478	-294.671584	8.2486	8.5103	70.1985
479	-294.673232	8.2537	8.5096	70.2357
480	-294.721316	8.2588	8.5040	70.2335
481	-294.696634	8.2647	8.5110	70.3405
482	-294.660045	8.2689	8.5138	70.3996
483	-294.671584	8.2730	8.5128	70.4268
484	-294.673232	8.2777	8.5116	70.4564
485	-294.721316	8.2823	8.5058	70.4475
486	-294.696634	8.2877	8.5122	70.5467
487	-294.660045	8.2915	8.5145	70.5982
488	-294.671584	8.2951	8.5131	70.6176
489	-294.673232	8.2993	8.5115	70.6397
490	-294.721316	8.3036	8.5053	70.6242
491	-294.696634	8.3085	8.5112	70.7155
492	-294.660045	8.3118	8.5131	70.7592
493	-294.671584	8.3150	8.5113	70.7710
494	-294.673232	8.3187	8.5092	70.7854
495	-294.721316	8.3225	8.5027	70.7632
496	-294.696634	8.3270	8.5081	70.8466
497	-294.660045	8.3298	8.5095	70.8825
498	-294.671584	8.3325	8.5072	70.8865
499	-294.673232	8.3358	8.5047	70.8934
